_id,neighborhood,school,enrolled_students
1,Allegheny Center,Other,50
2,Allegheny Center,PITTSBURGH KING PreK-8,34
3,Allentown,Other,96
4,Allentown,PITTSBURGH GRANDVIEW PreK-5,76
5,Allentown,PITTSBURGH SOUTH HILLS 6-8,50
6,Allentown,PITTSBURGH CARRICK HIGH SCHOOL,35
7,Allentown,PITTSBURGH CARMALT PreK-8,21
8,Allentown,PITTSBURGH OBAMA IB 6-12,11
9,Arlington,PITTSBURGH ARLINGTON PreK-8,61
10,Arlington,Other,56
11,Arlington,PITTSBURGH CARRICK HIGH SCHOOL,36
12,Arlington,PITTSBURGH CARMALT PreK-8,18
13,Arlington,PITTSBURGH PHILLIPS K-5,15
14,Arlington Heights,PITTSBURGH ARLINGTON PreK-8,16
15,Arlington Heights,Other,11
16,Banksville,PITTSBURGH BANKSVILLE K-5,68
17,Banksville,Other,40
18,Banksville,PITTSBURGH BRASHEAR HIGH SCHOOL,29
19,Banksville,PITTSBURGH CARMALT PreK-8,16
20,Banksville,PITTSBURGH SOUTH HILLS 6-8,16
21,Banksville,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,11
22,Bedford Dwellings,Other,80
23,Bedford Dwellings,PITTSBURGH MILLER PreK-5,71
24,Bedford Dwellings,PITTSBURGH MILLIONES 6-12,45
25,Bedford Dwellings,PITTSBURGH LIBERTY K-5,13
26,Bedford Dwellings,PITTSBURGH CLASSICAL 6-8,11
27,Beechview,PITTSBURGH BEECHWOOD PreK-5,225
28,Beechview,PITTSBURGH BRASHEAR HIGH SCHOOL,166
29,Beechview,Other,79
30,Beechview,PITTSBURGH SOUTH HILLS 6-8,67
31,Beechview,PITTSBURGH SCHILLER 6-8,43
32,Beechview,PITTSBURGH BANKSVILLE K-5,42
33,Beechview,PITTSBURGH CARMALT PreK-8,39
34,Beechview,PITTSBURGH BEECHWOOD EARLY CHILDHOOD,33
35,Beechview,PITTSBURGH CLASSICAL 6-8,31
36,Beechview,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,28
37,Beechview,PITTSBURGH CAPA 6-12,23
38,Beechview,PITTSBURGH BROOKLINE PreK-8,18
39,Beltzhoover,Other,84
40,Beltzhoover,PITTSBURGH GRANDVIEW PreK-5,49
41,Beltzhoover,PITTSBURGH CARRICK HIGH SCHOOL,33
42,Beltzhoover,PITTSBURGH SOUTH HILLS 6-8,29
43,Beltzhoover,PITTSBURGH CARMALT PreK-8,22
44,Beltzhoover,PITTSBURGH PHILLIPS K-5,20
45,Beltzhoover,PITTSBURGH OBAMA IB 6-12,16
46,Bloomfield,Other,73
47,Bloomfield,PITTSBURGH WOOLSLAIR PreK-5,43
